Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2017-06-20,372000,375000,368000,371000,50804,5,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,6,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,7,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,8,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,9,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,10,1.0,0.0,0.0
2017-06-20,372000,375000,368000,371000,50804,11,1.0,0.0,0.0
2017-06-21,367000,373000,360500,373000,46429,2,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,3,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,4,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,5,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,6,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,7,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,8,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,9,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,10,1.0,1.0,0.0
2017-06-21,367000,373000,360500,373000,46429,11,1.0,1.0,0.0
2017-06-22,370000,373500,366000,373500,33528,2,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,3,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,4,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,5,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,6,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,7,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,8,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,9,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,10,1.0,0.0,0.0
2017-06-22,370000,373500,366000,373500,33528,11,1.0,0.0,0.0
2017-06-23,376000,377000,369000,370500,35982,2,,,
2017-06-23,376000,377000,369000,370500,35982,3,,,
2017-06-23,376000,377000,369000,370500,35982,4,,,
2017-06-23,376000,377000,369000,370500,35982,5,,,
2017-06-23,376000,377000,369000,370500,35982,6,,,
2017-06-23,376000,377000,369000,370500,35982,7,,,
2017-06-23,376000,377000,369000,370500,35982,8,,,
2017-06-23,376000,377000,369000,370500,35982,9,,,
2017-06-23,376000,377000,369000,370500,35982,10,,,
2017-06-23,376000,377000,369000,370500,35982,11,,,
2017-06-26,372500,372500,365000,367500,28493,2,3.0,3.0,0.0
