date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,2,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,3,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,4,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,5,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,6,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,7,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,8,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,9,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,10,1.0,0.0,0.0
2014-02-11,263500,274000,262500,273000,84620,8.6,22.2,1.1,2014-02-11,11,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,2,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,3,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,4,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,5,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,6,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,7,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,8,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,9,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,10,1.0,0.0,0.0
2014-02-12,273000,275500,270500,272500,47999,8.6,22.2,1.1,2014-02-12,11,1.0,0.0,0.0
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,2,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,3,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,4,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,5,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,6,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,7,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,8,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,9,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,10,,,
2014-02-13,273500,275000,269000,270000,30765,8.6,22.2,1.1,2014-02-13,11,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,2,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,3,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,4,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,5,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,6,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,7,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,8,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,9,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,10,,,
2014-02-14,269500,273500,268000,268000,24255,8.6,22.2,1.1,2014-02-14,11,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,2,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,3,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,4,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,5,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,6,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,7,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,8,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,9,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,10,,,
2014-02-17,271000,271500,266500,269500,30605,8.6,22.2,1.1,2014-02-17,11,,,
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,2,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,3,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,4,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,5,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,6,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,7,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,8,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,9,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,10,1.0,0.0,1.0
2014-02-18,269500,271500,266000,271000,24272,8.6,22.2,1.1,2014-02-18,11,1.0,0.0,1.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,2,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,3,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,4,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,5,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,6,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,7,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,8,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,9,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,10,2.0,1.0,0.0
2014-02-19,270000,271500,267000,269000,24010,8.6,22.2,1.1,2014-02-19,11,2.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,2,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,3,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,4,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,5,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,6,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,7,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,8,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,9,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,10,1.0,1.0,0.0
2014-02-20,269000,269000,263000,266000,30412,8.6,22.2,1.1,2014-02-20,11,1.0,1.0,0.0
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,2,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,3,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,4,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,5,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,6,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,7,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,8,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,9,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,10,,,
2014-02-21,266000,270500,264500,268500,41706,8.6,22.2,1.1,2014-02-21,11,,,
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,2,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,3,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,4,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,5,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,6,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,7,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,8,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,9,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,10,1.0,0.0,0.0
2014-02-24,267500,270000,266000,266500,22856,8.6,22.2,1.1,2014-02-24,11,1.0,0.0,0.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,2,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,3,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,4,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,5,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,6,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,7,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,8,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,9,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,10,2.0,1.0,1.0
2014-02-25,267500,268500,265500,267000,26689,8.6,22.2,1.1,2014-02-25,11,2.0,1.0,1.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,2,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,3,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,4,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,5,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,6,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,7,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,8,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,9,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,10,1.0,1.0,0.0
2014-02-26,266000,269500,266000,267000,30924,8.6,22.2,1.1,2014-02-26,11,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,2,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,3,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,4,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,5,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,6,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,7,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,8,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,9,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,10,1.0,1.0,0.0
2014-02-27,267500,275500,267000,275000,97666,8.6,22.2,1.1,2014-02-27,11,1.0,1.0,0.0
