Date,Open,High,Low,Close,Volume,ROE,PER,PBR,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2015-11-12,13800,14000,13750,13900,894933,6.98,7.07,0.47,13940.0,788744.2,-0.0028694404591104736,0.13463021344562667,13990.0,846846.7,-0.006433166547533953,0.056782768357012015,14125.0,917662.45,-0.01592920353982301,-0.024768857001831072,13694.166666666666,1122780.0666666667,0.015030730846467518,-0.20293116473211345,13761.25,1206993.4916666667,0.010082659642111,-0.25854364072482333,0.0036363636363636364,0.007194244604316547,-0.01079136690647482,0.01090909090909091,-0.012002583337473297
2015-11-13,13750,13850,13700,13700,628918,6.98,7.07,0.47,13870.0,815371.0,-0.012256669069935111,-0.2286725919857341,13960.0,785159.2,-0.01862464183381089,-0.19899301950483414,14097.5,884295.7,-0.028196488739138145,-0.2887921992609485,13693.333333333334,1112086.9166666667,0.00048685491723461974,-0.43447046217835344,13754.166666666666,1205391.4833333334,-0.003938200545289263,-0.47824585730370395,-0.01079136690647482,0.010948905109489052,0.0,-0.014388489208633094,-0.29724571560105617
2015-11-16,13450,13600,13350,13350,1024498,6.98,7.07,0.47,13740.0,874553.0,-0.028384279475982533,0.17145330242992707,13885.0,808851.4,-0.03853078862081383,0.2666084277037784,14050.0,896650.3,-0.0498220640569395,0.14258368061662383,13684.166666666666,1109226.35,-0.02441995006394247,-0.07638508587539422,13745.833333333334,1205038.85,-0.02879660503182787,-0.14982160118738086,-0.01824817518248175,0.018726591760299626,0.0,-0.025547445255474453,0.6289850187146814
2015-11-17,13500,13650,13450,13450,552059,6.98,7.07,0.47,13630.0,801242.6,-0.013206162876008804,-0.3109964447721576,13820.0,781287.5,-0.026772793053545588,-0.2933983968769499,14005.0,866875.55,-0.039628704034273474,-0.3631623362776814,13679.166666666666,1100031.7166666666,-0.016752969844654235,-0.4981426520383813,13740.833333333334,1199942.8,-0.021165625568560904,-0.5399289032777229,0.011235955056179775,0.01486988847583643,0.0,0.00749063670411985,-0.46114194464020425
2015-11-18,13450,13500,13300,13400,834459,6.98,7.07,0.47,13560.0,786973.4,-0.011799410029498525,0.06033952354679329,13760.0,771409.8,-0.02616279069767442,0.0817324332669872,13947.5,833537.35,-0.03925434665710701,0.001105709300249141,13677.5,1096661.75,-0.02028879546700786,-0.23909172541123094,13733.333333333334,1196350.0,-0.02427184466019422,-0.3024959251055293,0.0,0.007462686567164179,-0.007462686567164179,-0.0037174721189591076,0.5115395274780413
2015-11-19,13500,13800,13450,13750,834098,6.98,7.07,0.47,13530.0,774806.4,0.016260162601626018,0.0765244066130584,13735.0,781775.3,0.0010921004732435385,0.06692805464690424,13910.0,830024.2,-0.011502516175413372,0.004908049668913324,13690.833333333334,1078295.25,0.004321626392354938,-0.2264660351605926,13726.666666666666,1191652.7333333334,0.0016998542982030553,-0.3000494383402861,0.007462686567164179,0.0036363636363636364,-0.02181818181818182,0.026119402985074626,-0.0004326156228166992
2015-11-20,13750,13750,13550,13600,524142,6.98,7.07,0.47,13510.0,753851.2,0.006661732050333087,-0.3047142459944349,13690.0,784611.1,-0.006574141709276844,-0.33197223439739765,13867.5,820349.35,-0.019289706147467098,-0.36107464460110805,13702.5,1053989.3833333333,-0.0074803867907316185,-0.5027065658457059,13721.25,1186032.625,-0.008836658467705202,-0.558071178691227,0.0,0.011029411764705883,-0.003676470588235294,-0.01090909090909091,-0.37160621413790706
2015-11-23,13650,13700,13500,13700,434434,6.98,7.07,0.47,13580.0,635838.4,0.008836524300441826,-0.31675406832931136,13660.0,755195.7,0.0029282576866764276,-0.42473983895829914,13842.5,797385.5,-0.010294383240021672,-0.4551769501702752,13714.166666666666,1015072.8,-0.0010329950780822309,-0.572016903615189,13717.5,1180316.0416666667,-0.0012757426644796792,-0.6319341729978041,0.003676470588235294,0.0,-0.014598540145985401,0.007352941176470588,-0.17115209237191448
2015-11-24,13700,13800,13600,13750,733070,6.98,7.07,0.47,13640.0,672040.6,0.008064516129032258,0.09081207296106816,13635.0,736641.6,0.008434176751008434,-0.00484849077217466,13822.5,804452.65,-0.005245071441490324,-0.08873443328205834,13726.666666666666,990273.9666666667,0.0016998542982030553,-0.2597301103778722,13713.333333333334,1179641.0833333333,0.002673796791443806,-0.3785652175418045,0.0,0.0036363636363636364,-0.01090909090909091,0.0036496350364963502,0.6874139685199593
2015-11-25,13750,13750,13550,13600,872939,6.98,7.07,0.47,13680.0,679736.6,-0.005847953216374269,0.2842312742906591,13620.0,733355.0,-0.0014684287812041115,0.1903361946124319,13797.5,800552.75,-0.014314187352781301,0.09042033769792185,13731.666666666666,981177.2333333333,-0.009588542298822628,-0.11031466044683666,13711.25,1174037.95,-0.008113775184611177,-0.2564644098600049,0.0,0.011029411764705883,-0.003676470588235294,-0.01090909090909091,0.19079896872058602
