Date,Open,High,Low,Close,Volume,ROE,PBR,PER,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
2015-06-03,200000,206500,198000,204500,668240,12.53,0.91,7.85,214600.0,566802.0,-0.04706430568499534,0.17896549412316823,222100.0,418953.3,-0.07924358397118415,0.595022643335188,227925.0,305879.1,-0.10277503564769112,1.1846540021858312,239075.0,251896.8,-0.14461988915612256,1.6528324297887071,242370.83333333334,253242.78333333333,-0.15625161168319898,1.6387326470046828,0.0,0.009779951100244499,-0.03178484107579462,0.0225,-0.43568579663441603
2015-06-04,204500,206500,202000,203500,332155,12.53,0.91,7.85,210000.0,591796.8,-0.030952380952380953,-0.43873471434789785,219250.0,427913.6,-0.07183580387685291,-0.22378022105396972,226250.0,314615.0,-0.1005524861878453,0.05575067940180856,238183.33333333334,254678.83333333334,-0.14561612203484714,0.30421125168758295,241937.5,254716.64166666666,-0.15887367605269956,0.30401766381119516,0.0,0.014742014742014743,-0.007371007371007371,-0.004889975550122249,-0.5029405602777445
2015-06-05,206500,216000,206000,214000,566114,12.53,0.91,7.85,208100.0,631731.8,0.028351753964440174,-0.10386971179858294,217450.0,462152.7,-0.015865716256610714,0.22495010848146074,225050.0,334045.35,-0.04910019995556543,0.6947219890951933,237475.0,261772.3,-0.09885251079060954,1.1626199563513788,241625.0,258542.725,-0.11433005690636316,1.1896342277664167,0.014742014742014743,0.009345794392523364,-0.037383177570093455,0.051597051597051594,0.7043669371227288
2015-06-08,210500,214500,204500,209000,195004,12.53,0.91,7.85,206200.0,589135.2,0.013579049466537343,-0.6689995776860728,215200.0,453370.7,-0.028810408921933085,-0.5698795709559529,223625.0,333763.55,-0.06539966461710453,-0.4157420724941354,236658.33333333334,260929.88333333333,-0.11687031233494141,-0.25265746679200474,241316.66666666666,259155.93333333332,-0.13391808826576418,-0.24754182745574796,-0.016355140186915886,0.02631578947368421,-0.0215311004784689,-0.02336448598130841,-0.6555393436657634
2015-06-09,209500,212500,205000,206500,176653,12.53,0.91,7.85,207500.0,387633.2,-0.004819277108433735,-0.5442779411051478,213150.0,439977.9,-0.031198686371100164,-0.5984957426270728,222150.0,334227.45,-0.07044789556605897,-0.47145873266842686,235916.66666666666,259273.36666666667,-0.12469092193571173,-0.3186612174203264,240995.83333333334,259353.89166666666,-0.14313871263334432,-0.3188727615969518,0.0023923444976076554,0.029055690072639227,-0.007263922518159807,-0.011961722488038277,-0.09410576193308855
2015-06-10,209500,213000,205000,208000,177628,12.53,0.91,7.85,208200.0,289510.8,-0.0009606147934678194,-0.3864546676669747,211400.0,428156.4,-0.01608325449385052,-0.5851329093761065,220750.0,334409.25,-0.057757644394110984,-0.4688304824103998,235208.33333333334,260053.15,-0.11567759078830828,-0.3169550147729416,240700.0,258698.30833333332,-0.13585375986705442,-0.3133778062007041,0.014527845036319613,0.02403846153846154,-0.014423076923076924,0.007263922518159807,0.005519294888849892
2015-06-11,211500,223000,210500,217500,522307,12.53,0.91,7.85,211000.0,327541.2,0.030805687203791468,0.5946299274717195,210500.0,459669.0,0.0332541567695962,0.13626761865603293,219875.0,348059.3,-0.010801591813530414,0.5006264737072103,234633.33333333334,266473.61666666664,-0.07302173604205146,0.9600702183336851,240470.83333333334,261403.675,-0.09552440524665157,0.9980859106131542,0.016826923076923076,0.02528735632183908,-0.03218390804597701,0.04567307692307692,1.940454207669962
2015-06-12,217000,218000,210000,213000,234569,12.53,0.91,7.85,210800.0,261232.2,0.010436432637571158,-0.10206704992722954,209450.0,446482.0,0.01694915254237288,-0.4746283164830833,218800.0,350114.75,-0.026508226691042046,-0.33002251404718025,233875.0,266686.26666666666,-0.08925708177445217,-0.1204308983289728,240187.5,262289.275,-0.1131928181108509,-0.10568588822398484,-0.0022988505747126436,0.023474178403755867,-0.014084507042253521,-0.020689655172413793,-0.5508982265219498
2015-06-15,213000,218500,210500,215000,166768,12.53,0.91,7.85,212000.0,255585.0,0.014150943396226415,-0.34750474401862397,209100.0,422360.1,0.028216164514586323,-0.6051520965166928,218025.0,345818.8,-0.013874555670221306,-0.5177590113666464,233125.0,266537.2166666667,-0.0777479892761394,-0.37431626965415027,239958.33333333334,262066.34166666667,-0.10401111304045844,-0.36364204979775955,0.0,0.01627906976744186,-0.020930232558139535,0.009389671361502348,-0.28904501447335323
2015-06-16,219000,220000,208000,211500,328509,12.53,0.91,7.85,213000.0,285956.2,-0.007042253521126761,0.14880880358600368,210250.0,336794.7,0.005945303210463734,-0.024601634170609014,217250.0,351721.7,-0.026467203682393557,-0.06599734960908016,232300.0,268675.9,-0.08953938872148084,0.22269619269908456,239750.0,262614.11666666664,-0.11783107403545359,0.2509190449079059,0.018604651162790697,0.04018912529550828,-0.016548463356973995,-0.01627906976744186,0.9698563273529694
