,Date,Category,article
779,2014-04-23,11,Null
780,2014-04-24,2,Null
781,2014-04-24,3,Null
782,2014-04-24,4,Null
783,2014-04-24,5,Null
784,2014-04-24,6,Null
785,2014-04-24,7,Null
786,2014-04-24,8,Null
787,2014-04-24,9,Null
788,2014-04-24,10,Null
789,2014-04-24,11,Null
790,2014-04-25,2,Null
791,2014-04-25,3,Null
792,2014-04-25,4,Null
793,2014-04-25,5,Null
794,2014-04-25,6,Null
795,2014-04-25,7,Null
796,2014-04-25,8,Null
797,2014-04-25,9,Null
798,2014-04-25,10,Null
799,2014-04-25,11,Null
800,2014-04-28,2,Null
801,2014-04-28,3,Null
802,2014-04-28,4,Null
803,2014-04-28,5,Null
804,2014-04-28,6,Null
805,2014-04-28,7,Null
806,2014-04-28,8,Null
807,2014-04-28,9,Null
808,2014-04-28,10,Null
809,2014-04-28,11,Null
810,2014-04-29,2,Null
811,2014-04-29,3,Null
812,2014-04-29,4,Null
813,2014-04-29,5,Null
814,2014-04-29,6,Null
815,2014-04-29,7,Null
816,2014-04-29,8,Null
817,2014-04-29,9,Null
818,2014-04-29,10,Null
819,2014-04-29,11,Null
820,2014-04-30,2,Null
821,2014-04-30,3,Null
822,2014-04-30,4,Null
823,2014-04-30,5,Null
824,2014-04-30,6,Null
825,2014-04-30,7,Null
826,2014-04-30,8,Null
827,2014-04-30,9,Null
828,2014-04-30,10,Null
829,2014-04-30,11,Null
830,2014-05-02,2,Null
831,2014-05-02,3,Null
832,2014-05-02,4,Null
833,2014-05-02,5,Null
834,2014-05-02,6,Null
835,2014-05-02,7,Null
836,2014-05-02,8,Null
837,2014-05-02,9,Null
838,2014-05-02,10,Null
839,2014-05-02,11,Null
840,2014-05-07,2,Null
841,2014-05-07,3,Null
842,2014-05-07,4,Null
843,2014-05-07,5,Null
844,2014-05-07,6,Null
845,2014-05-07,7,Null
846,2014-05-07,8,Null
847,2014-05-07,9,Null
848,2014-05-07,10,Null
849,2014-05-07,11,Null
850,2014-05-08,2,Null
851,2014-05-08,3,Null
852,2014-05-08,4,Null
853,2014-05-08,5,Null
