date,open,high,low,close,volume,roe,per,pbr,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,Date,SA,economics,IT,finance,social,politics
2017-09-15,346000,352000,345000,350500,32775,10.91,14.33,1.53,349500.0,26803.0,0.0028612303290409995,0.22281087937917396,349050.0,22916.8,0.004154132645753,0.43017349717238,352125.0,24669.2,-0.004614838480653,0.32857976748333895,357350.0,30863.8333333333,-0.019168882048412,0.061922530685861996,358825.0,36342.3666666667,-0.023200724587194,-0.09815999875260399,0.001447178002894,0.004279600570613,-0.015691868758916,0.014471780028944,-0.128046184952644,2017-09-15,,0,1,0,0,0
2017-09-15,346000,352000,345000,350500,32775,10.91,14.33,1.53,349500.0,26803.0,0.0028612303290409995,0.22281087937917396,349050.0,22916.8,0.004154132645753,0.43017349717238,352125.0,24669.2,-0.004614838480653,0.32857976748333895,357350.0,30863.8333333333,-0.019168882048412,0.061922530685861996,358825.0,36342.3666666667,-0.023200724587194,-0.09815999875260399,0.001447178002894,0.004279600570613,-0.015691868758916,0.014471780028944,-0.128046184952644,2017-09-15,,0,0,1,0,0
2017-09-15,346000,352000,345000,350500,32775,10.91,14.33,1.53,349500.0,26803.0,0.0028612303290409995,0.22281087937917396,349050.0,22916.8,0.004154132645753,0.43017349717238,352125.0,24669.2,-0.004614838480653,0.32857976748333895,357350.0,30863.8333333333,-0.019168882048412,0.061922530685861996,358825.0,36342.3666666667,-0.023200724587194,-0.09815999875260399,0.001447178002894,0.004279600570613,-0.015691868758916,0.014471780028944,-0.128046184952644,2017-09-15,,0,0,0,1,0
2017-09-18,350000,353000,348000,350500,31247,10.91,14.33,1.53,349100.0,29818.0,0.004010312231452,0.04792407270776,349200.0,22772.7,0.0037227949599079996,0.37212539575895703,352000.0,25299.1,-0.004261363636364,0.23510322501591,357016.66666666704,30784.9166666667,-0.018253116101023,0.015010056331698999,358808.33333333296,36241.4,-0.023155352207538997,-0.13780924577968803,-0.001426533523538,0.007132667617688999,-0.007132667617688999,0.0,-0.046620900076278,2017-09-18,,0,0,0,0,1
2017-09-18,350000,353000,348000,350500,31247,10.91,14.33,1.53,349100.0,29818.0,0.004010312231452,0.04792407270776,349200.0,22772.7,0.0037227949599079996,0.37212539575895703,352000.0,25299.1,-0.004261363636364,0.23510322501591,357016.66666666704,30784.9166666667,-0.018253116101023,0.015010056331698999,358808.33333333296,36241.4,-0.023155352207538997,-0.13780924577968803,-0.001426533523538,0.007132667617688999,-0.007132667617688999,0.0,-0.046620900076278,2017-09-18,1.0,1,0,0,0,0
2017-09-18,350000,353000,348000,350500,31247,10.91,14.33,1.53,349100.0,29818.0,0.004010312231452,0.04792407270776,349200.0,22772.7,0.0037227949599079996,0.37212539575895703,352000.0,25299.1,-0.004261363636364,0.23510322501591,357016.66666666704,30784.9166666667,-0.018253116101023,0.015010056331698999,358808.33333333296,36241.4,-0.023155352207538997,-0.13780924577968803,-0.001426533523538,0.007132667617688999,-0.007132667617688999,0.0,-0.046620900076278,2017-09-18,,0,1,0,0,0
2017-09-18,350000,353000,348000,350500,31247,10.91,14.33,1.53,349100.0,29818.0,0.004010312231452,0.04792407270776,349200.0,22772.7,0.0037227949599079996,0.37212539575895703,352000.0,25299.1,-0.004261363636364,0.23510322501591,357016.66666666704,30784.9166666667,-0.018253116101023,0.015010056331698999,358808.33333333296,36241.4,-0.023155352207538997,-0.13780924577968803,-0.001426533523538,0.007132667617688999,-0.007132667617688999,0.0,-0.046620900076278,2017-09-18,,0,0,1,0,0
2017-09-18,350000,353000,348000,350500,31247,10.91,14.33,1.53,349100.0,29818.0,0.004010312231452,0.04792407270776,349200.0,22772.7,0.0037227949599079996,0.37212539575895703,352000.0,25299.1,-0.004261363636364,0.23510322501591,357016.66666666704,30784.9166666667,-0.018253116101023,0.015010056331698999,358808.33333333296,36241.4,-0.023155352207538997,-0.13780924577968803,-0.001426533523538,0.007132667617688999,-0.007132667617688999,0.0,-0.046620900076278,2017-09-18,,0,0,0,1,0
2017-09-19,349000,351500,348500,350500,11781,10.91,14.33,1.53,348700.0,28200.6,0.005162030398623001,-0.582242931001468,349400.0,22047.8,0.0031482541499709997,-0.465660972976896,352000.0,24613.55,-0.004261363636364,-0.521361201452046,356733.33333333296,30506.383333333302,-0.017473369463652,-0.613818528690443,358762.5,35851.575,-0.023030556426605,-0.671395189751078,-0.004279600570613,0.002853067047076,-0.005706134094151,0.0,-0.622971805293308,2017-09-19,,0,0,0,0,1
2017-09-19,349000,351500,348500,350500,11781,10.91,14.33,1.53,348700.0,28200.6,0.005162030398623001,-0.582242931001468,349400.0,22047.8,0.0031482541499709997,-0.465660972976896,352000.0,24613.55,-0.004261363636364,-0.521361201452046,356733.33333333296,30506.383333333302,-0.017473369463652,-0.613818528690443,358762.5,35851.575,-0.023030556426605,-0.671395189751078,-0.004279600570613,0.002853067047076,-0.005706134094151,0.0,-0.622971805293308,2017-09-19,0.0,1,0,0,0,0
